PassengerId;Survived;Pclass;Name;Sex;Age;SibSp;Parch;Ticket;Fare;Cabin;Embarked
1027;0;3;Carlsson, Mr. Carl Robert;male;24;0;0;350409;78542;;S
1029;0;2;Schmidt, Mr. August;male;26;0;0;248659;13;;S
1030;1;3;Drapkin, Miss. Jennie;female;23;0;0;SOTON/OQ 392083;805;;S
1031;0;3;Goodwin, Mr. Charles Frederick;male;40;1;6;CA 2144;469;;S
1032;1;3;Goodwin, Miss. Jessie Allis;female;10;5;2;CA 2144;469;;S
1033;1;1;Daniels, Miss. Sarah;female;33;0;0;113781;15155;;S
1034;0;1;Ryerson, Mr. Arthur Larned;male;61;1;3;PC 17608;262375;B57 B59 B63 B66;C
1035;0;2;Beauchamp, Mr. Henry James;male;28;0;0;244358;26;;S
1036;0;1;"Lindeberg-Lind, Mr. Erik Gustaf (Mr Edward Lingrey"")""";male;42;0;0;17475;2655;;S
1037;0;3;Vander Planke, Mr. Julius;male;31;3;0;345763;18;;S
1039;0;3;Davies, Mr. Evan;male;22;0;0;SC/A4 23568;805;;S
1041;0;2;Lahtinen, Rev. William;male;30;1;1;250651;26;;S
1042;1;1;Earnshaw, Mrs. Boulton (Olive Potter);female;23;0;1;11767;831583;C54;C
1045;1;3;Klasen, Mrs. (Hulda Kristina Eugenia Lofqvist);female;36;0;2;350405;121833;;S
1046;0;3;Asplund, Master. Filip Oscar;male;13;4;2;347077;313875;;S
1047;0;3;Duquemin, Mr. Joseph;male;24;0;0;S.O./P.P. 752;755;;S
1048;1;1;Bird, Miss. Ellen;female;29;0;0;PC 17483;2217792;C97;S
1049;1;3;Lundin, Miss. Olga Elida;female;23;0;0;347469;78542;;S
1050;0;1;Borebank, Mr. John James;male;42;0;0;110489;2655;D22;S
1051;1;3;Peacock, Mrs. Benjamin (Edith Nile);female;26;0;2;SOTON/O.Q. 3101315;13775;;S
1053;0;3;Touma, Master. Georges Youssef;male;7;1;1;2650;152458;;C
1054;1;2;Wright, Miss. Marion;female;26;0;0;220844;135;;S
1056;0;2;Peruschitz, Rev. Joseph Maria;male;41;0;0;237393;13;;S
1057;1;3;Kink-Heilmann, Mrs. Anton (Luise Heilmann);female;26;1;1;315153;22025;;S
1058;0;1;Brandeis, Mr. Emil;male;48;0;0;PC 17591;504958;B10;C
1059;0;3;Ford, Mr. Edward Watson;male;18;2;2;W./C. 6608;34375;;S
1061;1;3;Hellstrom, Miss. Hilda Maria;female;22;0;0;7548;89625;;S
1063;0;3;Zakarian, Mr. Ortin;male;27;0;0;2670;7225;;C
1064;0;3;Dyker, Mr. Adolf Fredrik;male;23;1;0;347072;139;;S
1066;0;3;Asplund, Mr. Carl Oscar Vilhelm Gustafsson;male;40;1;5;347077;313875;;S
1067;1;2;Brown, Miss. Edith Eileen;female;15;0;2;29750;39;;S
1068;1;2;Sincock, Miss. Maude;female;20;0;0;C.A. 33112;3675;;S
1069;0;1;Stengel, Mr. Charles Emil Henry;male;54;1;0;11778;554417;C116;C
1070;1;2;Becker, Mrs. Allen Oliver (Nellie E Baumgardner);female;36;0;3;230136;39;F4;S
1071;1;1;Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll);female;64;0;2;PC 17756;831583;E45;C
1072;0;2;McCrie, Mr. James Matthew;male;30;0;0;233478;13;;S
1073;0;1;Compton, Mr. Alexander Taylor Jr;male;37;1;1;PC 17756;831583;E52;C
1074;1;1;Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson);female;18;1;0;113773;531;D30;S
1076;1;1;Douglas, Mrs. Frederick Charles (Mary Helene Baxter);female;27;1;1;PC 17558;2475208;B58 B60;C
1077;0;2;Maybery, Mr. Frank Hubert;male;40;0;0;239059;16;;S
1078;1;2;Phillips, Miss. Alice Frances Louisa;female;21;0;1;S.O./P.P. 2;21;;S
1079;0;3;Davies, Mr. Joseph;male;17;2;0;A/4 48873;805;;S
1081;0;2;Veal, Mr. James;male;40;0;0;28221;13;;S
1082;0;2;Angle, Mr. William A;male;34;1;0;226875;26;;S
1085;0;2;Lingane, Mr. John;male;61;0;0;235509;1235;;Q
1086;0;2;Drew, Master. Marshall Brines;male;8;0;2;28220;325;;S
1087;0;3;Karlsson, Mr. Julius Konrad Eugen;male;33;0;0;347465;78542;;S
1088;0;1;Spedden, Master. Robert Douglas;male;6;0;2;16966;1345;E34;C
1089;1;3;Nilsson, Miss. Berta Olivia;female;18;0;0;347066;7775;;S
1090;0;2;Baimbrigge, Mr. Charles Robert;male;23;0;0;C.A. 31030;105;;S
1093;0;3;Danbom, Master. Gilbert Sigvard Emanuel;male;33;0;2;347080;144;;S
1094;0;1;Astor, Col. John Jacob;male;47;1;0;PC 17757;227525;C62 C64;C
1095;1;2;Quick, Miss. Winifred Vera;female;8;1;1;26360;26;;S
1096;0;2;Andrew, Mr. Frank Thomas;male;25;0;0;C.A. 34050;105;;S
1098;1;3;McGowan, Miss. Katherine;female;35;0;0;9232;775;;Q
1099;0;2;Collett, Mr. Sidney C Stuart;male;24;0;0;28034;105;;S
1100;1;1;Rosenbaum, Miss. Edith Louise;female;33;0;0;PC 17613;277208;A11;C
1101;0;3;Delalic, Mr. Redjo;male;25;0;0;349250;78958;;S
1102;0;3;Andersen, Mr. Albert Karvin;male;32;0;0;C 4001;22525;;S
1104;0;2;Deacon, Mr. Percy William;male;17;0;0;S.O.C. 14879;735;;S
1105;1;2;Howard, Mrs. Benjamin (Ellen Truelove Arman);female;60;1;0;24065;26;;S
1106;1;3;Andersson, Miss. Ida Augusta Margareta;female;38;4;2;347091;7775;;S
1107;0;1;Head, Mr. Christopher;male;42;0;0;113038;425;B11;S
1109;0;1;Wick, Mr. George Dennick;male;57;1;1;36928;1648667;;S
1110;1;1;Widener, Mrs. George Dunton (Eleanor Elkins);female;50;1;1;113503;2115;C80;C
1112;1;2;Duran y More, Miss. Florentina;female;30;1;0;SC/PARIS 2148;138583;;C
1113;0;3;Reynolds, Mr. Harold J;male;21;0;0;342684;805;;S
1114;1;2;Cook, Mrs. (Selena Rogers);female;22;0;0;W./C. 14266;105;F33;S
1115;0;3;Karlsson, Mr. Einar Gervasius;male;21;0;0;350053;77958;;S
1116;1;1;Candee, Mrs. Edward (Helen Churchill Hungerford);female;53;0;0;PC 17606;274458;;C
1118;0;3;Asplund, Mr. Johan Charles;male;23;0;0;350054;77958;;S
1121;0;2;Hocking, Mr. Samuel James Metcalfe;male;36;0;0;242963;13;;S
1122;0;2;Sweet, Mr. George Frederick;male;14;0;0;220845;65;;S
1123;1;1;Willard, Miss. Constance;female;21;0;0;113795;2655;;S
1124;0;3;Wiklund, Mr. Karl Johan;male;21;1;0;3101266;64958;;S
1126;0;1;Cumings, Mr. John Bradley;male;39;1;0;PC 17599;712833;C85;C
1127;0;3;Vendel, Mr. Olof Edvin;male;20;0;0;350416;78542;;S
1128;0;1;Warren, Mr. Frank Manley;male;64;1;0;110813;7525;D37;C
1129;0;3;Baccos, Mr. Raffull;male;20;0;0;2679;7225;;C
1130;1;2;Hiltunen, Miss. Marta;female;18;1;1;250650;13;;S
1131;1;1;Douglas, Mrs. Walter Donald (Mahala Dutton);female;48;1;0;PC 17761;106425;C86;C
1132;1;1;Lindstrom, Mrs. Carl Johan (Sigrid Posse);female;55;0;0;112377;277208;;C
1133;1;2;Christy, Mrs. (Alice Frances);female;45;0;2;237789;30;;S
1134;0;1;Spedden, Mr. Frederic Oakley;male;45;1;1;16966;1345;E34;C
1137;0;1;Kenyon, Mr. Frederick R;male;41;1;0;17464;518625;D21;S
1138;1;2;Karnes, Mrs. J Frank (Claire Bennett);female;22;0;0;F.C.C. 13534;21;;S
1139;0;2;Drew, Mr. James Vivian;male;42;1;1;28220;325;;S
1140;1;2;Hold, Mrs. Stephen (Annie Margaret Hill);female;29;1;0;26707;26;;S
1142;1;2;West, Miss. Barbara J;female;92;1;2;C.A. 34651;2775;;S
1143;0;3;Abrahamsson, Mr. Abraham August Johannes;male;20;0;0;SOTON/O2 3101284;7925;;S
1144;0;1;Clark, Mr. Walter Miller;male;27;1;0;13508;1367792;C89;C
1145;0;3;Salander, Mr. Karl Johan;male;24;0;0;7266;9325;;S
1149;0;3;Niklasson, Mr. Samuel;male;28;0;0;363611;805;;S
1150;1;2;Bentham, Miss. Lilian W;female;19;0;0;28404;13;;S
1151;0;3;Midtsjo, Mr. Karl Albert;male;21;0;0;345501;7775;;S
1153;0;3;Nilsson, Mr. August Ferdinand;male;21;0;0;350410;78542;;S
1154;1;2;"Wells, Mrs. Arthur Henry (Addie"" Dart Trevaskis)""";female;29;0;2;29103;23;;S
1155;1;3;Klasen, Miss. Gertrud Emilia;female;1;1;1;350405;121833;;S
1156;0;2;Portaluppi, Mr. Emilio Ilario Giuseppe;male;30;0;0;C.A. 34644;127375;;C
1161;0;3;Pokrnic, Mr. Mate;male;17;0;0;315095;86625;;S
1162;0;1;McCaffry, Mr. Thomas Francis;male;46;0;0;13050;752417;C6;C
1164;1;1;Clark, Mrs. Walter Miller (Virginia McDowell);female;26;1;0;13508;1367792;C89;C
1167;1;2;Bryhl, Miss. Dagmar Jenny Ingeborg ;female;20;1;0;236853;26;;S
1168;0;2;Parker, Mr. Clifford Richard;male;28;0;0;SC 14888;105;;S
1169;0;2;Faunthorpe, Mr. Harry;male;40;1;0;2926;26;;S
1170;0;2;Ware, Mr. John James;male;30;1;0;CA 31352;21;;S
1171;0;2;Oxenham, Mr. Percy Thomas;male;22;0;0;W./C. 14260;105;;S
1172;1;3;Oreskovic, Miss. Jelka;female;23;0;0;315085;86625;;S
1173;0;3;Peacock, Master. Alfred Edward;male;75;1;1;SOTON/O.Q. 3101315;13775;;S
1175;1;3;Touma, Miss. Maria Youssef;female;9;1;1;2650;152458;;C
1176;1;3;Rosblom, Miss. Salli Helena;female;2;1;1;370129;202125;;S
1177;0;3;Dennis, Mr. William;male;36;0;0;A/5 21175;725;;S
1179;0;1;Snyder, Mr. John Pillsbury;male;24;1;0;21228;822667;B45;S
1183;1;3;"Daly, Miss. Margaret Marcella Maggie""""";female;30;0;0;382650;695;;Q
1185;0;1;Dodge, Dr. Washington;male;53;1;1;33638;818583;A34;S
1186;0;3;Wittevrongel, Mr. Camille;male;36;0;0;345771;95;;S
1187;0;3;Angheloff, Mr. Minko;male;26;0;0;349202;78958;;S
1188;1;2;Laroche, Miss. Louise;female;1;1;2;SC/Paris 2123;415792;;C
1190;0;1;Loring, Mr. Joseph Holland;male;30;0;0;113801;455;;S
1191;0;3;Johansson, Mr. Nils;male;29;0;0;347467;78542;;S
1192;0;3;Olsson, Mr. Oscar Wilhelm;male;32;0;0;347079;7775;;S
1194;0;2;Phillips, Mr. Escott Robert;male;43;0;1;S.O./P.P. 2;21;;S
1195;0;3;Pokrnic, Mr. Tome;male;24;0;0;315092;86625;;S
1197;1;1;Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead);female;64;1;1;112901;2655;B26;S
1198;0;1;Allison, Mr. Hudson Joshua Creighton;male;30;1;2;113781;15155;C22 C26;S
1199;0;3;Aks, Master. Philip Frank;male;83;0;1;392091;935;;S
1200;0;1;Hays, Mr. Charles Melville;male;55;1;1;12749;935;B69;S
1201;1;3;Hansen, Mrs. Claus Peter (Jennie L Howard);female;45;1;0;350026;141083;;S
1202;0;3;Cacic, Mr. Jego Grga;male;18;0;0;315091;86625;;S
1203;0;3;Vartanian, Mr. David;male;22;0;0;2658;7225;;C
1205;1;3;Carr, Miss. Jeannie;female;37;0;0;368364;775;;Q
1206;1;1;White, Mrs. John Stuart (Ella Holmes);female;55;0;0;PC 17760;1356333;C32;C
1207;1;3;Hagardon, Miss. Kate;female;17;0;0;AQ/3. 30631;77333;;Q
1208;0;1;Spencer, Mr. William Augustus;male;57;1;0;PC 17569;1465208;B78;C
1209;0;2;Rogers, Mr. Reginald Harry;male;19;0;0;28004;105;;S
1210;0;3;Jonsson, Mr. Nils Hilding;male;27;0;0;350408;78542;;S
1211;0;2;Jefferys, Mr. Ernest Wilfred;male;22;2;0;C.A. 31029;315;;S
1212;0;3;Andersson, Mr. Johan Samuel;male;26;0;0;347075;7775;;S
1213;0;3;Krekorian, Mr. Neshan;male;25;0;0;2654;72292;F E57;C
1214;0;2;Nesson, Mr. Israel;male;26;0;0;244368;13;F2;S
1215;0;1;Rowe, Mr. Alfred G;male;33;0;0;113790;2655;;S
1216;1;1;Kreuchen, Miss. Emilie;female;39;0;0;24160;2113375;;S
1217;0;3;Assam, Mr. Ali;male;23;0;0;SOTON/O.Q. 3101309;705;;S
1218;1;2;Becker, Miss. Ruth Elizabeth;female;12;2;1;230136;39;F4;S
1219;0;1;"Rosenshine, Mr. George (Mr George Thorne"")""";male;46;0;0;PC 17585;792;;C
1220;0;2;Clarke, Mr. Charles Valentine;male;29;1;0;2003;26;;S
1221;0;2;Enander, Mr. Ingvar;male;21;0;0;236854;13;;S
1222;1;2;Davies, Mrs. John Morgan (Elizabeth Agnes Mary White) ;female;48;0;2;C.A. 33112;3675;;S
1223;0;1;Dulles, Mr. William Crothers;male;39;0;0;PC 17580;297;A18;C
1225;1;3;"Nakid, Mrs. Said (Waika Mary"" Mowad)""";female;19;1;1;2653;157417;;C
1226;0;3;Cor, Mr. Ivan;male;27;0;0;349229;78958;;S
1227;0;1;Maguire, Mr. John Edward;male;30;0;0;110469;26;C106;S
1228;0;2;de Brito, Mr. Jose Joaquim;male;32;0;0;244360;13;;S
1229;0;3;Elias, Mr. Joseph;male;39;0;2;2675;72292;;C
1230;0;2;Denbury, Mr. Herbert;male;25;0;0;C.A. 31029;315;;S
1232;0;2;Fillbrook, Mr. Joseph Charles;male;18;0;0;C.A. 15185;105;;S
1233;0;3;Lundstrom, Mr. Thure Edvin;male;32;0;0;350403;75792;;S
1235;1;1;Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake);female;58;0;1;PC 17755;5123292;B51 B53 B55;C
1237;1;3;Abelseth, Miss. Karen Marie;female;16;0;0;348125;765;;S
1238;0;2;Botsford, Mr. William Hull;male;26;0;0;237670;13;;S
1239;1;3;Whabee, Mrs. George Joseph (Shawneene Abi-Saab);female;38;0;0;2688;72292;;C
1240;0;2;Giles, Mr. Ralph;male;24;0;0;248726;135;;S
1241;1;2;Walcroft, Miss. Nellie;female;31;0;0;F.C.C. 13528;21;;S
1242;1;1;Greenfield, Mrs. Leo David (Blanche Strouse);female;45;0;1;PC 17759;633583;D10 D12;C
1243;0;2;Stokes, Mr. Philip Joseph;male;25;0;0;F.C.C. 13540;105;;S
1244;0;2;Dibden, Mr. William;male;18;0;0;S.O.C. 14879;735;;S
1245;0;2;Herman, Mr. Samuel;male;49;1;2;220845;65;;S
1246;1;3;"Dean, Miss. Elizabeth Gladys Millvina""""";female;17;1;2;C.A. 2315;20575;;S
1247;0;1;Julian, Mr. Henry Forbes;male;50;0;0;113044;26;E60;S
1248;1;1;Brown, Mrs. John Murray (Caroline Lane Lamson);female;59;2;0;11769;514792;C101;S
1251;1;3;Lindell, Mrs. Edvard Bengtsson (Elin Gerda Persson);female;30;1;0;349910;1555;;S
1253;1;2;Mallet, Mrs. Albert (Antoinette Magnin);female;24;1;1;S.C./PARIS 2079;370042;;C
1254;1;2;Ware, Mrs. John James (Florence Louise Long);female;31;0;0;CA 31352;21;;S
1255;0;3;Strilic, Mr. Ivan;male;27;0;0;315083;86625;;S
1256;1;1;Harder, Mrs. George Achilles (Dorothy Annan);female;25;1;0;11765;554417;E50;C
1259;1;3;"Riihivouri, Miss. Susanna Juhantytar Sanni""""";female;22;0;0;3101295;396875;;S
1260;1;1;Gibson, Mrs. Leonard (Pauline C Boeson);female;45;0;1;112378;594;;C
1261;0;2;Pallas y Castello, Mr. Emilio;male;29;0;0;SC/PARIS 2147;138583;;C
1262;0;2;Giles, Mr. Edgar;male;21;1;0;28133;115;;S
1263;1;1;Wilson, Miss. Helen Alice;female;31;0;0;16966;1345;E39 E41;C
1265;0;2;Harbeck, Mr. William H;male;44;0;0;248746;13;;S
1266;1;1;Dodge, Mrs. Washington (Ruth Vidaver);female;54;1;1;33638;818583;A34;S
1267;1;1;Bowen, Miss. Grace Scott;female;45;0;0;PC 17608;262375;;C
1268;1;3;Kink, Miss. Maria;female;22;2;0;315152;86625;;S
1269;0;2;"Cotterill, Mr. Henry Harry""""";male;21;0;0;29107;115;;S
1270;0;1;Hipkins, Mr. William Edward;male;55;0;0;680;50;C39;S
1271;0;3;Asplund, Master. Carl Edgar;male;5;4;2;347077;313875;;S
1273;0;3;Foley, Mr. Joseph;male;26;0;0;330910;78792;;Q
1275;1;3;McNamee, Mrs. Neal (Eileen O'Leary);female;19;1;0;376566;161;;S
1277;1;2;Herman, Miss. Kate;female;24;1;2;220845;65;;S
1278;0;3;Aronsson, Mr. Ernst Axel Algot;male;24;0;0;349911;7775;;S
1279;0;2;Ashby, Mr. John;male;57;0;0;244346;13;;S
1280;0;3;Canavan, Mr. Patrick;male;21;0;0;364858;775;;Q
1281;0;3;Palsson, Master. Paul Folke;male;6;3;1;349909;21075;;S
1282;0;1;Payne, Mr. Vivian Ponsonby;male;23;0;0;12749;935;B24;S
1283;1;1;Lines, Mrs. Ernest H (Elizabeth Lindsey James);female;51;0;1;PC 17592;394;D28;S
1284;0;3;Abbott, Master. Eugene Joseph;male;13;0;2;C.A. 2673;2025;;S
1285;0;2;Gilbert, Mr. William;male;47;0;0;C.A. 30769;105;;S
1286;0;3;Kink-Heilmann, Mr. Anton;male;29;3;1;315153;22025;;S
1287;1;1;Smith, Mrs. Lucien Philip (Mary Eloise Hughes);female;18;1;0;13695;60;C31;S
1288;0;3;Colbert, Mr. Patrick;male;24;0;0;371109;725;;Q
1289;1;1;Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli);female;48;1;1;13567;792;B41;C
1290;0;3;Larsson-Rondberg, Mr. Edvard A;male;22;0;0;347065;7775;;S
1291;0;3;Conlon, Mr. Thomas Henry;male;31;0;0;21332;77333;;Q
1292;1;1;Bonnell, Miss. Caroline;female;30;0;0;36928;1648667;C7;S
1293;0;2;Gale, Mr. Harry;male;38;1;0;28664;21;;S
1294;1;1;Gibson, Miss. Dorothy Winifred;female;22;0;1;112378;594;;C
1295;0;1;Carrau, Mr. Jose Pedro;male;17;0;0;113059;471;;S
1296;0;1;Frauenthal, Mr. Isaac Gerald;male;43;1;0;17765;277208;D40;C
1297;0;2;"Nourney, Mr. Alfred (Baron von Drachstedt"")""";male;20;0;0;SC/PARIS 2166;138625;D38;C
1298;0;2;Ware, Mr. William Jeffery;male;23;1;0;28666;105;;S
1299;0;1;Widener, Mr. George Dunton;male;50;1;1;113503;2115;C80;C
1301;1;3;Peacock, Miss. Treasteall;female;3;1;1;SOTON/O.Q. 3101315;13775;;S
1303;1;1;Minahan, Mrs. William Edward (Lillian E Thorpe);female;37;1;0;19928;90;C78;Q
1304;1;3;Henriksson, Miss. Jenny Lovisa;female;28;0;0;347086;7775;;S
